"NORDEN"	"IDHOGAR"	"TMUNI"	"NHOGAR"	"EHOGAR"	"SEXO"	"EDAD"	"NACIONALIDAD"	"ESTUDIANTE"	"REGLADO"	"NOREGLADO"	"NEST"	"NEST2"	"C01"	"C02"	"C03"	"C04"	"MCL"	"C08"	"C09A"	"C10"	"C11A"	"C12"	"C13A"	"C14"	"C15A"	"C16"	"C17A"	"C18"	"C19A"	"C20"	"C21A"	"C22"	"C23A"	"C24"	"C25A"	"C26"	"C27A"	"C28A"	"C29A"	"C31A"	"C33A"	"C34A"	"DLIB"	"LIB"	"D42"	"D43"	"D44"	"D45"	"D47"	"D48"	"D50"	"D51"	"D53"	"D54"	"D56"	"D57"	"GTT"	"GTS"	"GTSR"	"GTSNR"	"GTB"	"E59"	"E60R1"	"E60R2"	"E60R3"	"E60R4"	"E60R5"	"E60R6"	"E61R1"	"E61R2"	"E61R3"	"E61R4"	"E61R5"	"E61R6"	"E61R7"	"E62R1"	"E62R2"	"E62R3"	"E62R4"	"FACTOR"
0007753	0322	1		2	1	49	1	0	0	0	0	00																																																																				750.198324
0007754	0322	1		2	2	51	1	0	0	0	0	00																																																																				750.198324
0006995	0322	1		2	2	13	1	1	1	0	3	04	1	1	2		0	2		1	0	2				2		1	0	1	25	1	10	2		2							1	305	1	10	1	25	1	50	2		2		1	15	440	35	35		405	1	2	2	1	2	2	2												750.198324
0006996	0322	1		2	1	9	1	1	1	0	2	03	1	1	1		0	1	0	2		2		2		1	0	1	0	1	25	1	10	2		1	240						1	161	2		1	35	1	55	2		2		2		526	275	275		251	1	2	1	2	2	2	2												750.198324
0006998	0323	1		1	1	58	1	1	1	0	3	04	1	1	1		0	2		2		2				2		2		2		2		2		2							1	34	1	55	2		1	15	2		2		2		104				104	2	2	2	2	2	2	2												688.670775
0007757	0324	3		1	1	42	1	0	0	0	0	00																																																																				1340.972567
0007758	0324	3		1	1	10	1	1	1	1	2	03	2	1	1		0	1	1620	2		2		1	315	1	540	2		1	50	2		1	180	2			540				1	250	1	50	1	200	1	100	2		1	1200	1	30	5075	3245	2705	540	1830	2	2	2	2	2	2	2												1340.972567
0006999	0325	3		1	2	56	1	1	1	1	4	09	3	2	4		398	2				2												1	55	2							1	148	1	48			1	25	2		1	25	2		699	453	453		246	1														2	2	2	1	701.126976
0007759	0326	1		2	1	44	1	0	0	0	0	00																																																																				1548.02589
0007760	0326	1		2	2	42	1	0	0	0	0	00																																																																				1548.02589
